Acquisition Date,Publish Date,Orbit,Platform
2025-08-13,2025-08-16,65,S2C
2025-08-15,2025-08-18,22,S2B
2025-08-15,2025-08-18,65,S2A
2025-08-16,2025-08-19,108,S2C
2025-08-18,2025-08-21,65,S2B
2025-08-18,2025-08-21,108,S2A
2025-08-19,2025-08-22,8,S2C
2025-08-20,2025-08-23,22,S2C
2025-08-21,2025-08-24,108,S2B
2025-08-21,2025-08-24,8,S2A
2025-08-22,2025-08-25,22,S2A
2025-08-23,2025-08-26,65,S2C
2025-08-24,2025-08-27,8,S2B
2025-08-25,2025-08-28,22,S2B
2025-08-25,2025-08-28,65,S2A
2025-08-28,2025-08-31,65,S2B
2025-08-31,2025-09-03,108,S2B
